query	Score	ItemID	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_1	LeafCats	Title	feature_10
bike	1073726358	311170175900	1.000000	-7.784297	-5.828867	14.270271	0.000000	259324.000000	77881.000000	218.000000	533.000000	::[109118]::	MUTINY CINCH 22mm BMX BICYCLE CRANKS LHD SPLINE DRIVE 28t SPROCKET INCLUDED NEW	2.52599111184
bike	1073726099	281349641484	1.000000	-7.699164	-4.271195	26.716961	0.000000	259324.000000	77881.000000	226.000000	1670.142822	::[177854]::	New Khaki Men 'Cycling Long Pants Bike Bicycle Sports Outdoor Tights detachable 	0.259181894609
bike	1073726090	191834086253	1.000000	-7.482042	-4.799233	12.832776	0.000000	259324.000000	77881.000000	223.000000	480.384613	::[177928]::	2002-2004 Honda CRF450R Dirt Bike Shock Bearing Kit	0.088256602562
bike	1073726048	361014465616	1.000000	-7.821063	-5.902566	13.341578	0.000000	259324.000000	77881.000000	224.000000	822.538452	::[22683]::	Bicycle Fitness Anti Slip Half Finger Exercise Workout Sport Gloves Colorful	1.41798733052
bike	1073725818	400477902824	1.000000	-7.540167	-5.244792	21.771027	0.000000	259324.000000	77881.000000	191.000000	844.799988	::[35190]::	SlipGrip 1" Bike Mount For iPhone 4 4S Using OtterBox Defender iON Intelligence	3.3795794284
bike	1073725374	172154459083	1.000000	-7.459916	-4.270337	16.126343	0.000000	259324.000000	77881.000000	236.000000	977.692322	::[177857]::	Cycling Bicycle Taillights 5 LED Safety Flashing  Warning Lights	4.71693764708
bike	1073724750	161307436466	1.000000	-7.512834	-5.122619	6.607158	0.000000	259324.000000	77881.000000	172.000000	452.727264	::[159889]::	Dirt Bike Motocross Vinyl Wall Decal or Car Sticker - DC 006	4.78437072398
bike	1073724576	301920874684	1.000000	-7.591371	-4.660800	20.031143	0.000000	259324.000000	77881.000000	225.000000	1419.866699	::[56183]::	Men Plaid Cycling Jerseys Bike Short Sleeves Outdoor Sports Bicycle Shirts M-3XL	5.08685752591
bike	1073724336	162023234765	1.000000	-7.942430	-4.916669	16.890451	0.031250	259324.000000	77881.000000	217.000000	241.565216	::[10064]::	19mm Carb PZ19 Carburetor For Honda Trail Bike CT70 ST70 CT90 ST90 CT ST 70 90	8.32679787129
bike	1073723783	151675255786	1.000000	-7.760489	-5.367207	7.988075	0.000000	259324.000000	77881.000000	219.000000	854.428589	::[56183]::	2015 Summer Women Girls Cycling Jerseys Breathable Bike Wear Clothing T-shirts	6.94190979811
bike	1073723237	380351310362	1.000000	-7.456521	-4.983137	13.406097	0.000000	259324.000000	77881.000000	217.000000	399.846161	::[177103]::	WARM THERMAL COTTON INNER GLOVES Bike It Motorcycle Scooter Glove Liner GLVBLK	4.22957954274
bike	1073722699	361516286090	1.000000	-8.567989	-3.642432	13.151379	0.000000	259324.000000	77881.000000	204.000000	463.062500	::[35557]::	Honda GROM 125 Graphic Kit AMR Racing Bike Decal Motorcycle Parts 13-15 REAPER W	3.92347423945
bike	1073722108	121931317023	1.000000	-7.465494	-5.013568	5.375489	0.000000	259324.000000	77881.000000	219.000000	440.307678	::[15687]::	Official Ride Like The Wind  No Emissions Eco Cycling  T SHIRT jersey	4.3310656673
bike	1073721677	191309838033	1.000000	-7.086459	-4.888125	12.594207	0.000000	259324.000000	77881.000000	221.000000	439.333344	::[21669]::	3.00 x 10 PIT BIKE INNER TUBE HONDA SSR SCG NST COOLSTER X-TREME MINI MOTOS BBR	1.98260398317
bike	1073720989	400741091780	1.000000	-7.507393	-5.147726	10.799798	0.000000	259324.000000	77881.000000	211.000000	767.500000	::[6749]::	HJC IS-Cruiser Half Hemet Street Bike Motorcycle Scooter XXL Flat Black HH	4.01587981323
bike	1073720556	391339438119	1.000000	-8.256787	-4.784085	14.787401	0.014062	259324.000000	77881.000000	172.000000	661.250000	::[177817|58101]::	3pcs Carbon MTB Road Bicycle Racing TT tri Base Bullhorn Bar&Seatpost&stem set	3.47887966362
bike	1073720015	401031613199	1.000000	-7.557572	-4.939495	24.245052	0.070312	259324.000000	77881.000000	189.000000	1184.611084	::[22689]::	Rechargeable 6500Lm 3x CREE T6 LED Front Bicycle Lamp Bike Light+6400mAh+Charger	2.25032901878
bike	1073717619	272202070569	1.000000	-7.390667	-4.736623	11.981238	0.000000	259324.000000	77881.000000	138.000000	710.692322	::[179413]::	Car Bike 12V-5V Conversion USB Adapter Jusby	8.75234555497
bike	1073716780	391369909476	1.000000	-7.434534	-4.905660	32.127121	0.070312	259324.000000	77881.000000	223.000000	1254.687500	::[22689]::	New AKSLEN 2 Modle Flashing Safety 2 LED Bike Bicycle Rear Tail Light TL-70	10.0226186736
bike	1073715545	152036294530	1.000000	-8.257008	-5.939769	25.721264	0.000000	259324.000000	77881.000000	0.000000	984.846130	::[421]::	Vintage Personalized TEXAS CHARLIE Mini Bike Bicycle Vanity Name License Plate 	10.381934205
bike	1073715235	291663448701	1.000000	-7.611904	-4.596290	17.941031	0.000000	259324.000000	77881.000000	217.000000	1181.473633	::[177852]::	bk-c03 New Bicycle racing suit men's long sleeve cycling jersey set Bib pants 	5.22733053683
bike	1073714916	311532417538	1.000000	-7.455372	-4.979194	25.538471	0.000000	259324.000000	77881.000000	221.000000	1388.400024	::[33713]::	1 Pair Bicycle Bike flash LED Wheel Fashion Front Rear Wheel Caps Light Lamp	3.44904945124
bicycle	1073740778	172150814327	1.000000	-8.050813	-5.642106	14.818023	0.000000	504122.000000	70240.000000	173.000000	486.399994	::[11507]::	BIKE 1" Swimmer Jock Strap / Jogging Jockstrap - 1" Waistband - UK FREEPOST	0.437599201871
bicycle	1073740639	152045965929	1.000000	-7.390667	-4.736623	16.487286	0.025039	504122.000000	70240.000000	0.000000	355.615387	::[177846]::	Topeak Super Bicycle Chain Tool	3.47888427717
bicycle	1073739302	131774964633	1.000000	-8.209416	-4.175261	18.302319	0.234742	504122.000000	70240.000000	135.000000	2220.266602	::[177831]::	2008 FUJI FC-770 18 Speed Men Bicycle 56cm Carbon / Aluminum No Suspension	5.81548906302
bicycle	1073739156	171393975787	1.000000	-6.134408	-4.741736	6.545900	0.000000	504122.000000	70240.000000	183.000000	830.200012	::[50424]::	New Black Roko Goggle Quick Straps Release Helmet Dirt Bike ATV MX Smith Scott +	1.04527940227
bicycle	1073739050	281301408397	1.000000	-7.716263	-5.360478	39.642361	0.000000	504122.000000	70240.000000	173.000000	1048.000000	::[35190]::	Bike & Waterproof Bicycle Motorcycle Mount Holder for Nokia NOK Lumia Phones NEW	6.05545641314
bicycle	1073738772	281921199899	1.000000	-8.244131	-4.512305	14.152131	0.000000	504122.000000	70240.000000	196.000000	1213.199951	::[177817|177827]::	Carbon Fiber MTB Road Mountain Bike Bicycle flat riser Handlebar Stem set Shiny	4.11220880595
bicycle	1073738272	182031631329	1.000000	-8.906329	-5.882586	10.384348	0.000000	504122.000000	70240.000000	211.000000	1341.235352	::[24087]::	PRADA MEN'S SHOES NYLON TRAINERS SNEAKERS NEW PLUME BIKE BLUE 546	3.59410260908
bicycle	1073737871	172040345720	1.000000	-7.758067	-4.215820	7.484079	0.025039	504122.000000	70240.000000	179.000000	611.000000	::[70911]::	Kids Adult Protect Helmets for Riding Bike Cycling Scooter Ski Skate Skateboard	6.25592780078
bicycle	1073737690	391047016704	1.000000	-7.179086	-4.502812	30.479818	0.000000	504122.000000	70240.000000	231.000000	1168.307739	::[56183]::	Digital Age Sport Cycling Jersey Bike Bicycle Clothing Short Sleeve Jersey Top	4.34050216551
bicycle	1073737602	272151844079	1.000000	-7.831589	-4.567859	14.199005	0.000000	504122.000000	70240.000000	141.000000	978.545471	::[177817|177827]::	Carbon MTB Road Mountain Bike Bicycle rise Handlebar Integrated Bar Stem No logo	6.04685490269
bicycle	1073737147	182091621812	1.000000	-7.390667	-4.736623	7.639849	0.000000	504122.000000	70240.000000	221.000000	495.312500	::[15687]::	Marvel Superhero Avenger Comics Costume Cycling T Shirt Short Sleeve Bike Jersey	6.76520660825
bicycle	1073737098	161658204567	1.000000	-7.576794	-4.401037	11.328796	0.000000	504122.000000	70240.000000	188.000000	1031.117676	::[155193]::	Swim.Bike.Run. Training Gym Triathalon T-shirt Biking Running Men's Tank Top	5.00868609845
bicycle	1073736529	331324350277	1.000000	-7.427949	-4.881592	11.960312	0.000000	504122.000000	70240.000000	214.000000	313.750000	::[122304]::	Apico MX Motocross Bike Throttle Cable - Honda CR125 1993-1997 CR250 1984-2000	1.96655545159
bicycle	1073736334	361364036117	1.000000	-7.586100	-5.299498	12.188527	0.000000	504122.000000	70240.000000	180.000000	575.333313	::[6751]::	Gaerne `14 SG-12 Motocross Dirt Bike Motorcycle Boots Size 8 White/Green WP	4.51368679912
bicycle	1073734588	200906759330	1.000000	-7.712584	-5.229480	26.631357	0.000000	504122.000000	70240.000000	208.000000	1756.533325	::[177817]::	New 1 Pair of Black Mountain Bicycle Bike Cycling Handlebar Hand Bar End Grip	5.65706243036
bicycle	1073734056	272138497398	1.000000	-7.876516	-4.711823	7.940661	0.050078	504122.000000	70240.000000	172.000000	525.642883	::[10064]::	**6-Pack** of Motorized Bicycle MAGNETOS - Fits 49cc, 66/80cc Engines	6.90746327927
bicycle	1073733805	222047437694	1.000000	-7.640575	-4.946984	29.631189	0.000000	504122.000000	70240.000000	172.000000	1376.846191	::[42335]::	2 x pcs Bicycle Bike Brake Cable Adjuster Screws 7mm RED	7.36284313892
bicycle	1073733332	331830356598	1.000000	-7.638929	-3.670628	10.181701	0.234742	504122.000000	70240.000000	0.000000	774.846130	::[177831]::	SUNDAY SPARK BMX BIKE	9.09945877339
bicycle	1073733257	281716075192	1.000000	-7.232073	-5.318243	27.049675	0.000000	504122.000000	70240.000000	220.000000	1312.705933	::[22683]::	Women's Winter Riding Cycling Bike Bicycle 3D GEL Full Finger Gloves Cat girl 	9.81032512374
bicycle	1073732890	381390013182	1.000000	-7.506261	-5.144258	29.960892	0.000000	504122.000000	70240.000000	216.000000	1100.166626	::[177852]::	Cycling Bike Bicycle Short Sleeve Set Men 3D Pattern Jersey +Bib Shorts CC2005-2	4.66945628194
bicycle	1073731841	170925764434	1.000000	-7.933802	-5.633082	7.780714	0.000000	504122.000000	70240.000000	215.000000	442.562500	::[155183]::	MX REQUIRES BALLS HOODIE SWEAT SHIRT MOTOCROSS YZF KTM CRF KXF SUPERCROSS BIKE	6.18226776225
bicycle	1073730704	121796055789	1.000000	-8.400303	-4.406747	14.686769	0.000000	504122.000000	70240.000000	227.000000	608.842102	::[15687|137084]::	Superhero Marvel Costume Cycling T-Shirts  Short Long Sleeve Bicycle Jersey HOT	3.1773515827
bicycle	1073729778	140681734299	1.000000	-7.884474	-4.370881	11.420664	0.000000	504122.000000	70240.000000	205.000000	602.260864	::[177980]::	44MM BIG BORE TOP END KIT FOR ATV POCKET BIKE 49CC 2 STROKE STAGE 3 BLUE P CK10B	4.89259624675
bicycle	1073727845	400575310345	1.000000	-6.459435	-4.130013	13.188763	0.000000	504122.000000	70240.000000	222.000000	749.187500	::[177781]::	PETCOCK FUEL VALVE 1/4" On Off MOTORCYCLE CHOPPER CUSTOM BIKE BSA DEERE utv new	2.25952339772
bicycle	1073727011	131735452820	1.000000	-8.186845	-6.041079	13.618493	0.234742	504122.000000	70240.000000	193.000000	1343.333374	::[177831]::	Framed Minnesota 3.0 XWT Fat Bike w/ Alloy and Carbon Fork Sz 16in	3.23955152669
bicycle	1073726936	381364425725	1.000000	-7.562020	-5.205191	31.283558	0.000000	504122.000000	70240.000000	218.000000	995.312500	::[177852]::	Men Cycling Team Clothing Bicycle Jersey + (Bib) Shorts Bike Outdoor Wear Suits	8.66845098098
bicycle	1073726658	252337000737	1.000000	-7.390667	-4.736623	25.543722	0.000000	504122.000000	70240.000000	186.000000	1079.466675	::[16050]::	(FreeShi) Bicycle Motorcycle Cycling Bike Ski Anti Dust Face Mask Half Filter F	7.88815503603
bicycle	1073726463	231912352536	1.000000	-7.581233	-5.316706	18.020470	0.000000	504122.000000	70240.000000	171.000000	930.076904	::[73502]::	American Chopper Black Widow Bike Motorcycle Coffee  Mug 2005 Mickey's Bike	1.00412203664
bicycle	1073726358	311170175900	1.000000	-7.784297	-5.828867	14.270271	0.000000	504122.000000	70240.000000	218.000000	525.750000	::[109118]::	MUTINY CINCH 22mm BMX BICYCLE CRANKS LHD SPLINE DRIVE 28t SPROCKET INCLUDED NEW	7.25247655183
bicycle	1073726099	281349641484	1.000000	-7.699164	-4.271195	26.716961	0.000000	504122.000000	70240.000000	226.000000	1531.071411	::[177854]::	New Khaki Men 'Cycling Long Pants Bike Bicycle Sports Outdoor Tights detachable 	6.47176835554
bicycle	1073726090	191834086253	1.000000	-7.482042	-4.799233	12.832776	0.000000	504122.000000	70240.000000	223.000000	455.692322	::[177928]::	2002-2004 Honda CRF450R Dirt Bike Shock Bearing Kit	8.0891358974
bicycle	1073726048	361014465616	1.000000	-7.821063	-5.902566	13.341578	0.000000	504122.000000	70240.000000	224.000000	839.000000	::[22683]::	Bicycle Fitness Anti Slip Half Finger Exercise Workout Sport Gloves Colorful	2.00790613508
bicycle	1073725818	400477902824	1.000000	-7.540167	-5.244792	14.480564	0.000000	504122.000000	70240.000000	191.000000	857.666687	::[35190]::	SlipGrip 1" Bike Mount For iPhone 4 4S Using OtterBox Defender iON Intelligence	6.83069832598
bicycle	1073725374	172154459083	1.000000	-7.459916	-4.270337	16.126343	0.000000	504122.000000	70240.000000	236.000000	1048.538452	::[177857]::	Cycling Bicycle Taillights 5 LED Safety Flashing  Warning Lights	7.53509758643
bicycle	1073724750	161307436466	1.000000	-7.512834	-5.122619	6.607158	0.000000	504122.000000	70240.000000	172.000000	410.681824	::[159889]::	Dirt Bike Motocross Vinyl Wall Decal or Car Sticker - DC 006	4.65080445713
bicycle	1073724576	301920874684	1.000000	-7.591371	-4.660800	20.249207	0.000000	504122.000000	70240.000000	225.000000	1278.000000	::[56183]::	Men Plaid Cycling Jerseys Bike Short Sleeves Outdoor Sports Bicycle Shirts M-3XL	4.73308990987
bicycle	1073724336	162023234765	1.000000	-7.942430	-4.916669	12.571125	0.050078	504122.000000	70240.000000	217.000000	272.173920	::[10064]::	19mm Carb PZ19 Carburetor For Honda Trail Bike CT70 ST70 CT90 ST90 CT ST 70 90	3.31837368177
bicycle	1073723783	151675255786	1.000000	-7.760489	-5.367207	7.988075	0.000000	504122.000000	70240.000000	219.000000	728.142883	::[56183]::	2015 Summer Women Girls Cycling Jerseys Breathable Bike Wear Clothing T-shirts	8.49452812042
bicycle	1073723237	380351310362	1.000000	-7.456521	-4.983137	13.667810	0.000000	504122.000000	70240.000000	217.000000	386.153839	::[177103]::	WARM THERMAL COTTON INNER GLOVES Bike It Motorcycle Scooter Glove Liner GLVBLK	1.06492089194
bicycle	1073722699	361516286090	1.000000	-8.567989	-3.642432	13.651981	0.000000	504122.000000	70240.000000	204.000000	577.062500	::[35557]::	Honda GROM 125 Graphic Kit AMR Racing Bike Decal Motorcycle Parts 13-15 REAPER W	3.10206704096
bicycle	1073722108	121931317023	1.000000	-7.465494	-5.013568	5.375489	0.000000	504122.000000	70240.000000	219.000000	486.884613	::[15687]::	Official Ride Like The Wind  No Emissions Eco Cycling  T SHIRT jersey	3.22539052228
bicycle	1073721677	191309838033	1.000000	-7.086459	-4.888125	12.594207	0.000000	504122.000000	70240.000000	221.000000	445.333344	::[21669]::	3.00 x 10 PIT BIKE INNER TUBE HONDA SSR SCG NST COOLSTER X-TREME MINI MOTOS BBR	0.315413594149
bicycle	1073720989	400741091780	1.000000	-7.507393	-5.147726	10.799798	0.000000	504122.000000	70240.000000	211.000000	782.142883	::[6749]::	HJC IS-Cruiser Half Hemet Street Bike Motorcycle Scooter XXL Flat Black HH	5.58577951295
bicycle	1073720556	391339438119	1.000000	-8.256787	-4.784085	14.787401	0.000000	504122.000000	70240.000000	172.000000	681.750000	::[177817|58101]::	3pcs Carbon MTB Road Bicycle Racing TT tri Base Bullhorn Bar&Seatpost&stem set	3.73545842429
bicycle	1073720015	401031613199	1.000000	-7.557572	-4.939495	24.037226	0.128326	504122.000000	70240.000000	189.000000	1350.500000	::[22689]::	Rechargeable 6500Lm 3x CREE T6 LED Front Bicycle Lamp Bike Light+6400mAh+Charger	5.61993095892
bicycle	1073717619	272202070569	1.000000	-7.390667	-4.736623	11.819720	0.000000	504122.000000	70240.000000	138.000000	572.846130	::[179413]::	Car Bike 12V-5V Conversion USB Adapter Jusby	7.878763224
bicycle	1073716780	391369909476	1.000000	-7.434534	-4.905660	32.127121	0.128326	504122.000000	70240.000000	223.000000	1427.687500	::[22689]::	New AKSLEN 2 Modle Flashing Safety 2 LED Bike Bicycle Rear Tail Light TL-70	9.00751903933
bicycle	1073715545	152036294530	1.000000	-8.257008	-5.939769	25.721264	0.000000	504122.000000	70240.000000	0.000000	909.846130	::[421]::	Vintage Personalized TEXAS CHARLIE Mini Bike Bicycle Vanity Name License Plate 	2.5106175845
bicycle	1073715235	291663448701	1.000000	-7.611904	-4.596290	17.941031	0.000000	504122.000000	70240.000000	217.000000	1233.631592	::[177852]::	bk-c03 New Bicycle racing suit men's long sleeve cycling jersey set Bib pants 	0.886431187952
bicycle	1073714916	311532417538	1.000000	-7.455372	-4.979194	25.232906	0.000000	504122.000000	70240.000000	221.000000	1479.000000	::[33713]::	1 Pair Bicycle Bike flash LED Wheel Fashion Front Rear Wheel Caps Light Lamp	7.25859481999
mens red bicycle	1073697151	272158544616	0.000000	-7.820103	-5.400676	29.828718	0.041032	0.000000	0.000000	216.000000	0.000000	::[15687]::	Bike Ologist Biker Rider Leather Motorcycle Motorbike T shirt - Mens T-shirt Tee	10.4488966542
mens red bicycle	1073684983	121027937499	0.000000	-6.948490	-5.203364	28.026339	0.041032	0.000000	0.000000	170.000000	0.000000	::[15687]::	NEW! Mens ONE LIFE COUNTRY BIKE Red SHOVELHEAD Harley Motorcycle Biker T-Shirt	8.29635448064
mens red bicycle	1073654169	141934765828	0.000000	-6.302068	-4.520011	32.760822	0.000000	0.000000	0.000000	227.000000	0.000000	::[56183]::	Mens Ropa Ciclismo Cycling Jerseys Bike Clothing T-shirt Cycling Tops Red,Yellow	9.79829821575
mens red bicycle	1073605668	391404527609	0.000000	-7.309619	-4.037364	16.694145	0.000000	0.000000	0.000000	215.000000	0.000000	::[22683]::	Troy Lee Designs 2016 Ace Bike Gloves Mens All Sizes & Colors	2.42530844335
mens red bicycle	1073598983	282002250063	0.000000	-7.539384	-4.518154	38.097237	0.028518	0.000000	0.000000	204.000000	0.000000	::[177831]::	KENT FIXIE BIKE 700C Red Men’s Flip Flop Hub Cruiser City Road Bicycle 20" Frame	6.44054090942
mens red bicycle	1073580289	171080629490	0.000000	-7.715640	-5.651845	32.944069	0.041032	0.000000	0.000000	139.000000	0.000000	::[15687|63869]::	Bicycle Wheel Cross Bones T-shirt Bike T-shirt Mens Ladies Tee Funny T-shirt	2.62211813909
mens red bicycle	1073476378	191791981273	0.000000	-7.495197	-4.952794	32.549301	0.000000	0.000000	0.000000	205.000000	0.000000	::[50425]::	Alpinestars Mens Black/Red/White Megawatt Hard Knuckle Dirt Bike Enduro Gloves 	8.59311550096
mens red bicycle	1073336900	252345425071	0.000000	-7.557015	-5.292390	28.007957	0.000000	0.000000	0.000000	227.000000	0.000000	::[56185]::	 Mens Outdoor Sports Goggles Bicycle Riding Sun Eyewear Cycling Sunglasses UV400	1.00047978433
mens red bicycle	1073070079	321908977183	0.000000	-7.631354	-5.139937	32.165443	0.000000	0.000000	0.000000	137.000000	0.000000	::[155193]::	FREETOWN CHRISTIANIA (autonomous denmark flag copenhagen poster bike) T-SHIRT	5.8275645232
mens red bicycle	1073057408	400797588139	0.000000	-7.617045	-5.369561	29.637321	0.041032	0.000000	0.000000	203.000000	0.000000	::[15687]::	Funny Biker t-shirt Mens F*CK HAIRCUTS Motorcycle Bike OUTLAW Tattoo Long Hair x	0.786103340916
mens red bicycle	1072956259	131758793474	0.000000	-7.493068	-4.919195	29.564453	0.000000	0.000000	0.000000	205.000000	0.000000	::[34353]::	Fly Racing Red/Grey/White Mens & Youth Kinetic Division Race Dirt Bike Gloves MX	4.49218241044
mens red bicycle	1072889352	322028394649	0.000000	-7.822819	-5.278984	38.632030	0.041032	0.000000	0.000000	211.000000	0.000000	::[15687|177852]::	Mens Bicycle Cycling Jersey 3D Padded Bibs Shorts Suit Short Sleeve Tee Tights	1.82882362368
mens red bicycle	1072882031	271791445807	0.000000	-7.584024	-5.365798	30.444691	0.041032	0.000000	0.000000	195.000000	0.000000	::[15687]::	"DINOSAUR ON A SCOOTER"  MENS T SHIRT SML-3XL OLD BIKE CLASSIC BLACK RED BLUE  	9.54866486796
mens red bicycle	1072762871	281819138573	0.000000	-7.624926	-4.855352	16.307001	0.000000	0.000000	0.000000	213.000000	0.000000	::[6749]::	HJC IS-17 Grapple Motorcycle Mens Street Bike Moto Protective DOT Helmet	4.28423127287
